cust_response,time,total_amount,gender,age,person_id,became_member_on,income,F,M,O,days_of_membership,age_by_decade,income_range,reward,difficulty,duration
0,0,0,F,62,31dda685af34476cad5bc968bdb01c53,2016,71000,1,0,0,1660,60s,80k,5,20,240
1,168,69.5,F,62,31dda685af34476cad5bc968bdb01c53,2016,71000,1,0,0,1660,60s,80k,2,10,240
1,336,50.76,F,62,31dda685af34476cad5bc968bdb01c53,2016,71000,1,0,0,1660,60s,80k,3,7,168
1,336,50.76,F,62,31dda685af34476cad5bc968bdb01c53,2016,71000,1,0,0,1660,60s,80k,3,7,168
1,336,50.76,F,62,31dda685af34476cad5bc968bdb01c53,2016,71000,1,0,0,1660,60s,80k,3,7,168
1,168,69.5,F,62,31dda685af34476cad5bc968bdb01c53,2016,71000,1,0,0,1660,60s,80k,2,10,240
0,0,0,M,64,4b0da7e80e5945209a1fdddfe813dbe0,2017,100000,0,1,0,1084,60s,110k,10,10,168
1,168,109.28,M,64,4b0da7e80e5945209a1fdddfe813dbe0,2017,100000,0,1,0,1084,60s,110k,5,20,240
1,168,109.28,M,64,4b0da7e80e5945209a1fdddfe813dbe0,2017,100000,0,1,0,1084,60s,110k,5,20,240
1,408,30,M,64,4b0da7e80e5945209a1fdddfe813dbe0,2017,100000,0,1,0,1084,60s,110k,0,0,96
0,0,0,M,64,4b0da7e80e5945209a1fdddfe813dbe0,2017,100000,0,1,0,1084,60s,110k,10,10,168
1,0,32.15,F,78,c27e0d6ab72c455a8bb66d980963de60,2017,71000,1,0,0,1169,70s,80k,0,0,96
1,168,25.27,F,78,c27e0d6ab72c455a8bb66d980963de60,2017,71000,1,0,0,1169,70s,80k,0,0,72
1,0,32.15,F,78,c27e0d6ab72c455a8bb66d980963de60,2017,71000,1,0,0,1169,70s,80k,0,0,96
1,408,54.85,F,78,c27e0d6ab72c455a8bb66d980963de60,2017,71000,1,0,0,1169,70s,80k,2,10,240
0,504,0,F,78,c27e0d6ab72c455a8bb66d980963de60,2017,71000,1,0,0,1169,70s,80k,10,10,120
1,168,25.27,F,78,c27e0d6ab72c455a8bb66d980963de60,2017,71000,1,0,0,1169,70s,80k,0,0,72
1,0,391.3,F,88,d53717f5400c4e84affdaeda9dd926b3,2017,53000,1,0,0,1198,80s,60k,5,20,240
0,336,7.76,F,88,d53717f5400c4e84affdaeda9dd926b3,2017,53000,1,0,0,1198,80s,60k,2,10,168
0,408,0,F,88,d53717f5400c4e84affdaeda9dd926b3,2017,53000,1,0,0,1198,80s,60k,0,0,72
1,0,391.3,F,88,d53717f5400c4e84affdaeda9dd926b3,2017,53000,1,0,0,1198,80s,60k,5,20,240
1,0,41.23,M,42,f806632c011441378d4646567f357a21,2013,69000,0,1,0,2574,40s,70k,2,10,240
1,168,28.96,M,42,f806632c011441378d4646567f357a21,2013,69000,0,1,0,2574,40s,70k,10,10,120
1,0,41.23,M,42,f806632c011441378d4646567f357a21,2013,69000,0,1,0,2574,40s,70k,2,10,240
1,576,15.93,M,42,f806632c011441378d4646567f357a21,2013,69000,0,1,0,2574,40s,70k,0,0,96
1,0,47.14,F,56,d058f73bf8674a26a95227db098147b1,2018,88000,1,0,0,853,50s,90k,5,20,240
1,168,27.23,F,56,d058f73bf8674a26a95227db098147b1,2018,88000,1,0,0,853,50s,90k,2,10,168
1,0,47.14,F,56,d058f73bf8674a26a95227db098147b1,2018,88000,1,0,0,853,50s,90k,5,20,240
1,408,28.48,F,56,d058f73bf8674a26a95227db098147b1,2018,88000,1,0,0,853,50s,90k,10,10,120
0,504,0,F,56,d058f73bf8674a26a95227db098147b1,2018,88000,1,0,0,853,50s,90k,5,5,168
0,504,0,F,56,d058f73bf8674a26a95227db098147b1,2018,88000,1,0,0,853,50s,90k,5,5,168
0,0,0.67,M,59,ebe7ef46ea6f4963a7dd49f501b26779,2015,41000,0,1,0,2046,50s,50k,5,5,168
1,168,27.28,M,59,ebe7ef46ea6f4963a7dd49f501b26779,2015,41000,0,1,0,2046,50s,50k,2,10,240
1,336,7.72,M,59,ebe7ef46ea6f4963a7dd49f501b26779,2015,41000,0,1,0,2046,50s,50k,0,0,72
1,408,26.62,M,59,ebe7ef46ea6f4963a7dd49f501b26779,2015,41000,0,1,0,2046,50s,50k,2,10,168
1,336,7.72,M,59,ebe7ef46ea6f4963a7dd49f501b26779,2015,41000,0,1,0,2046,50s,50k,0,0,72
0,0,0.67,M,59,ebe7ef46ea6f4963a7dd49f501b26779,2015,41000,0,1,0,2046,50s,50k,5,5,168
0,0,0,M,22,1e9420836d554513ab90eba98552d0a9,2017,70000,0,1,0,1068,20s,80k,10,10,168
1,168,35.93,M,22,1e9420836d554513ab90eba98552d0a9,2017,70000,0,1,0,1068,20s,80k,10,10,120
1,168,35.93,M,22,1e9420836d554513ab90eba98552d0a9,2017,70000,0,1,0,1068,20s,80k,10,10,120
1,408,32.06,M,22,1e9420836d554513ab90eba98552d0a9,2017,70000,0,1,0,1068,20s,80k,3,7,168
1,504,28.82,M,22,1e9420836d554513ab90eba98552d0a9,2017,70000,0,1,0,1068,20s,80k,0,0,96
1,576,28.82,M,22,1e9420836d554513ab90eba98552d0a9,2017,70000,0,1,0,1068,20s,80k,5,20,240
0,0,12.03,F,96,868317b9be554cb18e50bc68484749a2,2017,89000,1,0,0,1015,90s,90k,2,10,168
0,336,0,F,96,868317b9be554cb18e50bc68484749a2,2017,89000,1,0,0,1015,90s,90k,0,0,72
1,408,19.47,F,96,868317b9be554cb18e50bc68484749a2,2017,89000,1,0,0,1015,90s,90k,5,5,168
1,504,22.05,F,96,868317b9be554cb18e50bc68484749a2,2017,89000,1,0,0,1015,90s,90k,5,5,120
0,576,22.05,F,96,868317b9be554cb18e50bc68484749a2,2017,89000,1,0,0,1015,90s,90k,3,7,168
1,0,26.29,M,40,f082d80f0aac47a99173ba8ef8fc1909,2016,33000,0,1,0,1511,40s,40k,5,5,168
1,168,2.81,M,40,f082d80f0aac47a99173ba8ef8fc1909,2016,33000,0,1,0,1511,40s,40k,0,0,72
0,336,10.22,M,40,f082d80f0aac47a99173ba8ef8fc1909,2016,33000,0,1,0,1511,40s,40k,10,10,168
0,408,5.47,M,40,f082d80f0aac47a99173ba8ef8fc1909,2016,33000,0,1,0,1511,40s,40k,5,5,120
1,0,26.29,M,40,f082d80f0aac47a99173ba8ef8fc1909,2016,33000,0,1,0,1511,40s,40k,5,5,168
1,0,26.29,M,40,f082d80f0aac47a99173ba8ef8fc1909,2016,33000,0,1,0,1511,40s,40k,5,5,168
1,0,55.07,F,69,102e9454054946fda62242d2e176fdce,2016,57000,1,0,0,1475,60s,60k,10,10,120
1,168,22.13,F,69,102e9454054946fda62242d2e176fdce,2016,57000,1,0,0,1475,60s,60k,0,0,96
1,336,19.92,F,69,102e9454054946fda62242d2e176fdce,2016,57000,1,0,0,1475,60s,60k,5,5,168
0,408,0,F,69,102e9454054946fda62242d2e176fdce,2016,57000,1,0,0,1475,60s,60k,0,0,72
1,336,19.92,F,69,102e9454054946fda62242d2e176fdce,2016,57000,1,0,0,1475,60s,60k,5,5,168
1,576,70.92,F,69,102e9454054946fda62242d2e176fdce,2016,57000,1,0,0,1475,60s,60k,10,10,168
1,0,20.32,F,26,9f30b375d7bd4c62a884ffe7034e09ee,2017,63000,1,0,0,1112,20s,70k,3,7,168
1,336,6.12,F,26,9f30b375d7bd4c62a884ffe7034e09ee,2017,63000,1,0,0,1112,20s,70k,0,0,72
1,408,34.66,F,26,9f30b375d7bd4c62a884ffe7034e09ee,2017,63000,1,0,0,1112,20s,70k,2,10,240
1,0,14.97,M,75,6e014185620b49bd98749f728747572f,2015,40000,0,1,0,1751,70s,50k,5,5,120
1,168,115,M,75,6e014185620b49bd98749f728747572f,2015,40000,0,1,0,1751,70s,50k,2,10,168
1,336,23.2,M,75,6e014185620b49bd98749f728747572f,2015,40000,0,1,0,1751,70s,50k,3,7,168
1,168,115,M,75,6e014185620b49bd98749f728747572f,2015,40000,0,1,0,1751,70s,50k,2,10,168
0,0,25.49,F,20,02c083884c7d45b39cc68e1314fec56c,2016,30000,1,0,0,1509,20s,40k,10,10,168
0,408,3.18,F,20,02c083884c7d45b39cc68e1314fec56c,2016,30000,1,0,0,1509,20s,40k,5,20,240
1,0,6.01,M,45,c0d210398dee4a0895b24444a5fcd1d2,2018,33000,0,1,0,783,40s,40k,5,5,168
1,336,31.19,M,45,c0d210398dee4a0895b24444a5fcd1d2,2018,33000,0,1,0,783,40s,40k,3,7,168
1,408,35.21,M,45,c0d210398dee4a0895b24444a5fcd1d2,2018,33000,0,1,0,783,40s,40k,10,10,120
1,504,11.25,M,45,c0d210398dee4a0895b24444a5fcd1d2,2018,33000,0,1,0,783,40s,40k,0,0,96
1,408,35.21,M,45,c0d210398dee4a0895b24444a5fcd1d2,2018,33000,0,1,0,783,40s,40k,10,10,120
0,0,0,F,54,57dd18ec5ddc46828afb81ec5977bef2,2017,80000,1,0,0,1298,50s,90k,5,5,168
0,168,0,F,54,57dd18ec5ddc46828afb81ec5977bef2,2017,80000,1,0,0,1298,50s,90k,0,0,72
1,336,78.61,F,54,57dd18ec5ddc46828afb81ec5977bef2,2017,80000,1,0,0,1298,50s,90k,10,10,120
1,408,26.75,F,54,57dd18ec5ddc46828afb81ec5977bef2,2017,80000,1,0,0,1298,50s,90k,0,0,96
1,504,70.39,F,54,57dd18ec5ddc46828afb81ec5977bef2,2017,80000,1,0,0,1298,50s,90k,5,5,120
1,576,67.11,F,54,57dd18ec5ddc46828afb81ec5977bef2,2017,80000,1,0,0,1298,50s,90k,2,10,240
1,0,15.26,M,39,be8a5d1981a2458d90b255ddc7e0d174,2014,51000,0,1,0,2285,30s,60k,0,0,72
1,168,18.63,M,39,be8a5d1981a2458d90b255ddc7e0d174,2014,51000,0,1,0,2285,30s,60k,5,5,120
0,336,11.64,M,39,be8a5d1981a2458d90b255ddc7e0d174,2014,51000,0,1,0,2285,30s,60k,10,10,120
0,504,1.63,M,39,be8a5d1981a2458d90b255ddc7e0d174,2014,51000,0,1,0,2285,30s,60k,0,0,96
0,576,0,M,39,be8a5d1981a2458d90b255ddc7e0d174,2014,51000,0,1,0,2285,30s,60k,5,20,240
0,0,8.34,F,79,a3b9b4bf115e4564933ea2e4bc936843,2015,48000,1,0,0,1962,70s,50k,5,5,168
0,336,5.14,F,79,a3b9b4bf115e4564933ea2e4bc936843,2015,48000,1,0,0,1962,70s,50k,2,10,168
1,504,136.86,F,79,a3b9b4bf115e4564933ea2e4bc936843,2015,48000,1,0,0,1962,70s,50k,10,10,168
0,336,5.14,F,79,a3b9b4bf115e4564933ea2e4bc936843,2015,48000,1,0,0,1962,70s,50k,2,10,168
0,0,0,F,66,7584948ea6d04f94b8798624706261c2,2018,38000,1,0,0,873,60s,40k,10,10,120
1,336,7.93,F,66,7584948ea6d04f94b8798624706261c2,2018,38000,1,0,0,873,60s,40k,0,0,72
0,408,7.46,F,66,7584948ea6d04f94b8798624706261c2,2018,38000,1,0,0,873,60s,40k,10,10,168
1,576,23.7,F,66,7584948ea6d04f94b8798624706261c2,2018,38000,1,0,0,873,60s,40k,5,5,168
1,0,20.16,F,48,9c64321646bf40f6ad1bc98864eaa6b8,2016,53000,1,0,0,1414,40s,60k,2,10,240
1,168,33.53,F,48,9c64321646bf40f6ad1bc98864eaa6b8,2016,53000,1,0,0,1414,40s,60k,2,10,168
0,408,11.84,F,48,9c64321646bf40f6ad1bc98864eaa6b8,2016,53000,1,0,0,1414,40s,60k,5,20,240
1,504,11.84,F,48,9c64321646bf40f6ad1bc98864eaa6b8,2016,53000,1,0,0,1414,40s,60k,10,10,120
1,0,81.99,M,37,676506bad68e4161b9bbaffeb039626b,2017,92000,0,1,0,1201,30s,100k,10,10,168
0,504,17.2,M,37,676506bad68e4161b9bbaffeb039626b,2017,92000,0,1,0,1201,30s,100k,5,20,240
1,576,17.2,M,37,676506bad68e4161b9bbaffeb039626b,2017,92000,0,1,0,1201,30s,100k,5,5,168
1,0,129.94,M,42,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,2016,96000,0,1,0,1685,40s,100k,2,10,168
1,336,135.15,M,42,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,2016,96000,0,1,0,1685,40s,100k,3,7,168
1,408,45.43,M,42,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,2016,96000,0,1,0,1685,40s,100k,5,20,240
1,504,24.3,M,42,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,2016,96000,0,1,0,1685,40s,100k,10,10,120
1,0,8.57,M,73,32fbf97e89274e8a935903f2ad095e1f,2017,38000,0,1,0,990,70s,40k,5,5,168
1,168,53.99,M,73,32fbf97e89274e8a935903f2ad095e1f,2017,38000,0,1,0,990,70s,40k,5,20,240
1,0,8.57,M,73,32fbf97e89274e8a935903f2ad095e1f,2017,38000,0,1,0,990,70s,40k,5,5,168
1,168,53.99,M,73,32fbf97e89274e8a935903f2ad095e1f,2017,38000,0,1,0,990,70s,40k,5,20,240
1,576,17.28,M,73,32fbf97e89274e8a935903f2ad095e1f,2017,38000,0,1,0,990,70s,40k,0,0,72
1,0,70.62,F,78,fe8264108d5b4f198453bbb1fa7ca6c9,2016,93000,1,0,0,1419,70s,100k,10,10,168
1,168,90.37,F,78,fe8264108d5b4f198453bbb1fa7ca6c9,2016,93000,1,0,0,1419,70s,100k,5,20,240
1,408,26.33,F,78,fe8264108d5b4f198453bbb1fa7ca6c9,2016,93000,1,0,0,1419,70s,100k,10,10,120
1,504,38.23,F,78,fe8264108d5b4f198453bbb1fa7ca6c9,2016,93000,1,0,0,1419,70s,100k,2,10,240
1,576,38.23,F,78,fe8264108d5b4f198453bbb1fa7ca6c9,2016,93000,1,0,0,1419,70s,100k,5,5,120
1,0,25.09,M,44,b7a66e629b134079a9bc7120c7b9947b,2017,35000,0,1,0,1069,40s,40k,5,5,120
1,408,63.13,M,44,b7a66e629b134079a9bc7120c7b9947b,2017,35000,0,1,0,1069,40s,40k,3,7,168
1,408,63.13,M,44,b7a66e629b134079a9bc7120c7b9947b,2017,35000,0,1,0,1069,40s,40k,3,7,168
1,576,50.9,M,44,b7a66e629b134079a9bc7120c7b9947b,2017,35000,0,1,0,1069,40s,40k,2,10,240
1,0,24.67,M,63,ca82e1ebc759402c8ab95c341755bdf1,2018,56000,0,1,0,777,60s,60k,2,10,168
1,168,75.94,M,63,ca82e1ebc759402c8ab95c341755bdf1,2018,56000,0,1,0,777,60s,60k,2,10,240
1,504,13.3,M,63,ca82e1ebc759402c8ab95c341755bdf1,2018,56000,0,1,0,777,60s,60k,10,10,168
0,0,4.28,M,27,e8fe7ffcf1634713a819d48447737c90,2017,44000,0,1,0,1037,20s,50k,10,10,120
0,168,9.67,M,27,e8fe7ffcf1634713a819d48447737c90,2017,44000,0,1,0,1037,20s,50k,5,20,240
0,336,7.87,M,27,e8fe7ffcf1634713a819d48447737c90,2017,44000,0,1,0,1037,20s,50k,5,5,168
1,504,23.99,M,27,e8fe7ffcf1634713a819d48447737c90,2017,44000,0,1,0,1037,20s,50k,2,10,240
1,504,23.99,M,27,e8fe7ffcf1634713a819d48447737c90,2017,44000,0,1,0,1037,20s,50k,2,10,240
1,0,46.98,M,68,d3f146b615514c6380b168bb3df5f05b,2017,87000,0,1,0,1101,60s,90k,5,5,120
1,0,46.98,M,68,d3f146b615514c6380b168bb3df5f05b,2017,87000,0,1,0,1101,60s,90k,5,5,120
1,408,17.25,M,68,d3f146b615514c6380b168bb3df5f05b,2017,87000,0,1,0,1101,60s,90k,10,10,120
1,504,42.84,M,68,d3f146b615514c6380b168bb3df5f05b,2017,87000,0,1,0,1101,60s,90k,2,10,168
1,576,42.84,M,68,d3f146b615514c6380b168bb3df5f05b,2017,87000,0,1,0,1101,60s,90k,3,7,168
1,0,13.69,M,75,a5a6ef2b78a04ddc9f374dd7c7f60bff,2015,52000,0,1,0,1734,70s,60k,0,0,72
1,408,85.96,M,75,a5a6ef2b78a04ddc9f374dd7c7f60bff,2015,52000,0,1,0,1734,70s,60k,2,10,168
1,504,49.32,M,75,a5a6ef2b78a04ddc9f374dd7c7f60bff,2015,52000,0,1,0,1734,70s,60k,5,5,168
1,0,49.53,M,67,2e87ba0fba1a4d1a8614af771f07a94d,2017,76000,0,1,0,1279,60s,80k,3,7,168
1,0,49.53,M,67,2e87ba0fba1a4d1a8614af771f07a94d,2017,76000,0,1,0,1279,60s,80k,3,7,168
1,336,111.92,M,67,2e87ba0fba1a4d1a8614af771f07a94d,2017,76000,0,1,0,1279,60s,80k,2,10,240
1,408,27.97,M,67,2e87ba0fba1a4d1a8614af771f07a94d,2017,76000,0,1,0,1279,60s,80k,5,5,120
1,504,45.3,M,67,2e87ba0fba1a4d1a8614af771f07a94d,2017,76000,0,1,0,1279,60s,80k,0,0,72
0,0,7.59,M,76,39dbcf43e24d41f4bbf0f134157e0e1e,2014,64000,0,1,0,2189,70s,70k,10,10,168
1,336,34.65,M,76,39dbcf43e24d41f4bbf0f134157e0e1e,2014,64000,0,1,0,2189,70s,70k,2,10,168
0,504,0,M,76,39dbcf43e24d41f4bbf0f134157e0e1e,2014,64000,0,1,0,2189,70s,70k,0,0,72
1,0,26.57,F,53,8c7df0c393db488aac3e58b06a7ea5f9,2016,72000,1,0,0,1514,50s,80k,3,7,168
1,168,40.68,F,53,8c7df0c393db488aac3e58b06a7ea5f9,2016,72000,1,0,0,1514,50s,80k,10,10,168
1,336,36.11,F,53,8c7df0c393db488aac3e58b06a7ea5f9,2016,72000,1,0,0,1514,50s,80k,2,10,168
1,408,36.11,F,53,8c7df0c393db488aac3e58b06a7ea5f9,2016,72000,1,0,0,1514,50s,80k,0,0,72
1,336,36.11,F,53,8c7df0c393db488aac3e58b06a7ea5f9,2016,72000,1,0,0,1514,50s,80k,2,10,168
1,576,64.52,F,53,8c7df0c393db488aac3e58b06a7ea5f9,2016,72000,1,0,0,1514,50s,80k,10,10,120
1,0,35.91,F,53,3a1242dda16248728e350c4bdeb21972,2016,117000,1,0,0,1336,50s,120k,10,10,120
1,168,17.09,F,53,3a1242dda16248728e350c4bdeb21972,2016,117000,1,0,0,1336,50s,120k,5,5,168
1,336,71.76,F,53,3a1242dda16248728e350c4bdeb21972,2016,117000,1,0,0,1336,50s,120k,10,10,168
1,504,178.44,F,53,3a1242dda16248728e350c4bdeb21972,2016,117000,1,0,0,1336,50s,120k,2,10,240
1,0,35.91,F,53,3a1242dda16248728e350c4bdeb21972,2016,117000,1,0,0,1336,50s,120k,10,10,120
0,0,3.68,F,53,8045834137dc47faa24f2c4547969f33,2017,55000,1,0,0,1037,50s,60k,5,5,120
0,0,3.68,F,53,8045834137dc47faa24f2c4547969f33,2017,55000,1,0,0,1037,50s,60k,5,5,120
0,336,4.83,F,53,8045834137dc47faa24f2c4547969f33,2017,55000,1,0,0,1037,50s,60k,2,10,168
0,408,8.5,F,53,8045834137dc47faa24f2c4547969f33,2017,55000,1,0,0,1037,50s,60k,5,20,240
1,576,10.52,F,53,8045834137dc47faa24f2c4547969f33,2017,55000,1,0,0,1037,50s,60k,2,10,240
0,0,0,F,61,fb98ebe9e3e14afaa5b5db182b00b7ec,2017,112000,1,0,0,1022,60s,120k,2,10,168
0,168,0,F,61,fb98ebe9e3e14afaa5b5db182b00b7ec,2017,112000,1,0,0,1022,60s,120k,2,10,240
0,168,0,F,61,fb98ebe9e3e14afaa5b5db182b00b7ec,2017,112000,1,0,0,1022,60s,120k,2,10,240
1,408,33.38,F,61,fb98ebe9e3e14afaa5b5db182b00b7ec,2017,112000,1,0,0,1022,60s,120k,3,7,168
1,504,33.38,F,61,fb98ebe9e3e14afaa5b5db182b00b7ec,2017,112000,1,0,0,1022,60s,120k,0,0,96
1,0,57.71,F,58,99e9a1916821461ebd5d5048dc2dff7d,2018,85000,1,0,0,946,50s,90k,5,5,120
1,168,84.8,F,58,99e9a1916821461ebd5d5048dc2dff7d,2018,85000,1,0,0,946,50s,90k,2,10,240
1,336,112.46,F,58,99e9a1916821461ebd5d5048dc2dff7d,2018,85000,1,0,0,946,50s,90k,5,20,240
1,168,84.8,F,58,99e9a1916821461ebd5d5048dc2dff7d,2018,85000,1,0,0,946,50s,90k,2,10,240
0,0,5.31,M,66,3f244f4dea654688ace14acb4f0257bb,2018,71000,0,1,0,787,60s,80k,10,10,168
1,168,18.18,M,66,3f244f4dea654688ace14acb4f0257bb,2018,71000,0,1,0,787,60s,80k,2,10,240
1,336,17.39,M,66,3f244f4dea654688ace14acb4f0257bb,2018,71000,0,1,0,787,60s,80k,0,0,72
1,408,8.18,M,66,3f244f4dea654688ace14acb4f0257bb,2018,71000,0,1,0,787,60s,80k,3,7,168
1,0,5.38,M,27,6e04a90a0e074496b5f229eb1f553433,2018,35000,0,1,0,961,20s,40k,0,0,72
1,0,5.38,M,27,6e04a90a0e074496b5f229eb1f553433,2018,35000,0,1,0,961,20s,40k,0,0,72
1,408,12.12,M,27,6e04a90a0e074496b5f229eb1f553433,2018,35000,0,1,0,961,20s,40k,2,10,240
0,504,15.4,M,27,6e04a90a0e074496b5f229eb1f553433,2018,35000,0,1,0,961,20s,40k,5,20,240
0,576,8.48,M,27,6e04a90a0e074496b5f229eb1f553433,2018,35000,0,1,0,961,20s,40k,5,5,120
0,0,0,M,40,262ad0fb526a4d53b572007da60cce24,2018,53000,0,1,0,913,40s,60k,5,5,120
0,0,0,M,40,262ad0fb526a4d53b572007da60cce24,2018,53000,0,1,0,913,40s,60k,5,5,120
0,504,0,M,40,262ad0fb526a4d53b572007da60cce24,2018,53000,0,1,0,913,40s,60k,0,0,72
0,576,2.07,M,40,262ad0fb526a4d53b572007da60cce24,2018,53000,0,1,0,913,40s,60k,0,0,96
0,0,0,F,73,a2b7a0b3487a4d779ddf4e11a034e2ee,2018,91000,1,0,0,862,70s,100k,0,0,72
1,168,53.04,F,73,a2b7a0b3487a4d779ddf4e11a034e2ee,2018,91000,1,0,0,862,70s,100k,3,7,168
1,336,51.8,F,73,a2b7a0b3487a4d779ddf4e11a034e2ee,2018,91000,1,0,0,862,70s,100k,5,5,120
1,408,56.12,F,73,a2b7a0b3487a4d779ddf4e11a034e2ee,2018,91000,1,0,0,862,70s,100k,10,10,168
0,576,0,F,73,a2b7a0b3487a4d779ddf4e11a034e2ee,2018,91000,1,0,0,862,70s,100k,2,10,168
0,0,0,F,74,2c5c63e5124e417b8504f76c868a4190,2015,107000,1,0,0,1709,70s,110k,0,0,96
1,336,153.97,F,74,2c5c63e5124e417b8504f76c868a4190,2015,107000,1,0,0,1709,70s,110k,2,10,240
1,336,153.97,F,74,2c5c63e5124e417b8504f76c868a4190,2015,107000,1,0,0,1709,70s,110k,2,10,240
1,336,153.97,F,74,2c5c63e5124e417b8504f76c868a4190,2015,107000,1,0,0,1709,70s,110k,2,10,240
1,576,97.12,F,74,2c5c63e5124e417b8504f76c868a4190,2015,107000,1,0,0,1709,70s,110k,3,7,168
1,0,17.72,M,38,fa7ccb17b2b14f32804d14f86ac87f04,2017,66000,0,1,0,1294,30s,70k,2,10,168
0,168,5.81,M,38,fa7ccb17b2b14f32804d14f86ac87f04,2017,66000,0,1,0,1294,30s,70k,5,20,240
0,408,9.22,M,38,fa7ccb17b2b14f32804d14f86ac87f04,2017,66000,0,1,0,1294,30s,70k,5,5,168
0,408,9.22,M,38,fa7ccb17b2b14f32804d14f86ac87f04,2017,66000,0,1,0,1294,30s,70k,5,5,168
0,576,4.98,M,38,fa7ccb17b2b14f32804d14f86ac87f04,2017,66000,0,1,0,1294,30s,70k,5,5,120
1,0,12.99,M,78,571b739ada3041fb8fbd20f23ce034f7,2015,58000,0,1,0,1752,70s,60k,10,10,120
0,168,0,M,78,571b739ada3041fb8fbd20f23ce034f7,2015,58000,0,1,0,1752,70s,60k,0,0,72
1,336,63.48,M,78,571b739ada3041fb8fbd20f23ce034f7,2015,58000,0,1,0,1752,70s,60k,0,0,96
1,0,12.99,M,78,571b739ada3041fb8fbd20f23ce034f7,2015,58000,0,1,0,1752,70s,60k,10,10,120
1,336,63.48,M,78,571b739ada3041fb8fbd20f23ce034f7,2015,58000,0,1,0,1752,70s,60k,0,0,96
1,0,12.99,M,78,571b739ada3041fb8fbd20f23ce034f7,2015,58000,0,1,0,1752,70s,60k,10,10,120
1,0,23.68,F,54,816afd4505d047cf893275fbfe825590,2016,53000,1,0,0,1342,50s,60k,2,10,240
0,168,12.71,F,54,816afd4505d047cf893275fbfe825590,2016,53000,1,0,0,1342,50s,60k,10,10,168
0,336,5.56,F,54,816afd4505d047cf893275fbfe825590,2016,53000,1,0,0,1342,50s,60k,10,10,120
0,168,12.71,F,54,816afd4505d047cf893275fbfe825590,2016,53000,1,0,0,1342,50s,60k,10,10,168
0,168,12.71,F,54,816afd4505d047cf893275fbfe825590,2016,53000,1,0,0,1342,50s,60k,10,10,168
1,0,23.68,F,54,816afd4505d047cf893275fbfe825590,2016,53000,1,0,0,1342,50s,60k,2,10,240
